ID,categories
1,"Others,Others,Others,Smart Contract"
2,Infrastructure
3,"Platform,Business services"
4,"Technology,Infrastructure,Cryptocurrency,Business services,Others,Finance,Technology,Others,Others,Smart Contract,Technology"
5,"Platform,Infrastructure,Others"
6,"Platform,Cryptocurrency,Technology,MediaCom,Others"
7,"Smart Contract,Cryptocurrency"
8,"Finance,Platform,Technology"
9,"Infrastructure,Platform"
10,"Cryptocurrency,Technology,Finance,Others"
11,"Platform,Finance,Cryptocurrency"
12,Business services
13,"Technology,Finance,Others"
14,"Platform,Others"
15,Others
16,"Business services,Finance,Others"
17,MediaCom
18,"Infrastructure,Others,Entertainment"
19,"Technology,Business services"
20,Others
21,Finance
22,Cryptocurrency
23,"Cryptocurrency,Entertainment,Entertainment,Platform,Technology"
24,"Others,Cryptocurrency,Platform,Others,Smart Contract"
25,"Platform,Cryptocurrency,Technology"
26,"Business services,Finance,Technology"
27,"Cryptocurrency,Finance,MediaCom,Technology"
28,"Technology,Entertainment,Cryptocurrency,Entertainment,Others"
29,Others
30,"Technology,Others,MediaCom,Infrastructure,Platform"
31,Others
32,"Platform,Technology,Business services"
33,"Platform,Cryptocurrency,Entertainment,Technology,Entertainment,Others"
34,"Cryptocurrency,Technology,Entertainment"
35,"Finance,Infrastructure,Technology"
36,"Business services,Cryptocurrency"
37,"Platform,Business services"
38,Cryptocurrency
39,"Platform,Others"
40,"Finance,Platform,Technology,Cryptocurrency"
41,"Others,Business services,Platform"
42,Business services
43,"Finance,Finance"
44,"Technology,Finance,Cryptocurrency"
45,"Platform,Cryptocurrency,Technology"
46,"Smart Contract,Cryptocurrency"
47,"Platform,Others,MediaCom,Business services,Technology,Cryptocurrency,Smart Contract,Technology,Infrastructure,Others"
48,"Technology,Entertainment"
49,"Others,Business services,Cryptocurrency,Platform"
50,Others
51,Cryptocurrency
52,"MediaCom,Platform,Technology"
53,"Platform,Cryptocurrency,Finance"
54,"Business services,Others,Finance,Technology,Cryptocurrency,Finance,Others,Platform,Smart Contract,Technology"
55,"Platform,Cryptocurrency,Technology,Technology,Infrastructure"
56,"Platform,Others"
57,"Cryptocurrency,Others,Business services"
58,"Technology,Cryptocurrency"
59,Cryptocurrency
60,"Platform,Cryptocurrency"
61,"Others,Infrastructure"
62,"Others,Cryptocurrency"
63,"Cryptocurrency,Platform,Finance"
64,"Business services,Platform"
65,"Platform,Business services,Finance"
66,"Others,Business services,Platform,Smart Contract"
67,"Cryptocurrency,Platform,Technology,Finance,Business services,Finance,Technology"
68,Cryptocurrency
69,"Technology,Cryptocurrency,Smart Contract"
70,Finance
71,Others
72,MediaCom
73,"Finance,Cryptocurrency"
74,"Entertainment,Entertainment"
75,"Platform,Business services,Technology"
76,Platform
77,"Technology,Others,Cryptocurrency,Finance"
78,"Technology,Others,Business services,Cryptocurrency,Infrastructure,Platform"
79,Cryptocurrency
80,"Technology,Platform"
81,Finance
82,Entertainment
83,Others
84,"Others,Platform,Others"
85,"Platform,Entertainment"
86,"MediaCom,Finance,Cryptocurrency,Finance,Others,Smart Contract,Technology"
87,Cryptocurrency
88,"Technology,Business services,Platform,Technology"
89,"Platform,Others"
90,"Business services,Cryptocurrency,Finance,Platform,Smart Contract,Technology"
91,"Platform,Entertainment"
92,"Business services,MediaCom,Cryptocurrency,Platform"
93,"Finance,Business services"
94,"Platform,Cryptocurrency,Finance,Infrastructure,Others"
95,Cryptocurrency
96,"Platform,Technology,MediaCom,Infrastructure"
97,Entertainment
98,"Business services,Technology"
99,"Technology,Platform"
100,Platform
101,"Cryptocurrency,Platform"
102,Others
103,"Finance,Platform,Infrastructure"
104,Technology
105,Others
106,"Finance,Business services,Smart Contract"
107,"Others,Others"
108,"Business services,Platform"
