"ID","goal","enddate","startdate","coinNum","teamSize","country_region","categories","overallrating","ratingTeam","ratingProduct","platform","acceptingCurrencyNum","whitepaper","video","socialMedia","GitHub","teamLinkedIn","teamPhotos","CEOPhoto","bitcoin.price","continent_region","duration"
1,"N",2018-04-15,2018-03-01,12750000,14,"Estonia","Charity,Education,Health,Smart Contract",2.6,2.4,2.4,"Ethereum","1",1,1,0,0,0.86,1,0,8446.783033,"Europe",45
2,"N",2017-08-25,2017-07-25,0,13,"Singapore","Infrastructure",2.1,0,0,"unknown","1",1,1,0,1,0,1,0,3509.085312,"Asia",31
3,"Y",2017-11-23,2017-11-18,2.22e+09,9,"Singapore","Platform,Business services",2.5,0,0,"Ethereum","unknown",1,0,3,0,0,1,0,8065.143229,"Asia",5
4,"Y",2018-05-18,2018-04-22,4.5e+07,7,"Mexico","Internet,Infrastructure,Cryptocurrency,Business services,Big Data,Banking,Artificial Intelligence,Legal,Real estate,Smart Contract,Software",2.1,1,2,"Ethereum","2",1,0,0,0,0,1,1,9053.863336,"Americas",26
5,"Y",2018-02-02,2018-02-01,8e+07,20,"Gibraltar","Platform,Infrastructure,Energy",4.3,4.4,4,"Ethereum","1",1,1,2,1,1,1,0,9000.64502,"Europe",1
6,"N",2018-04-30,2018-03-12,1.2e+08,10,"South Africa","Platform,Cryptocurrency,Internet,Media,Retail",3.5,3.3,3.3,"Ethereum","1",1,1,3,1,0.9,1,1,8134.590176,"Africa",49
7,"N",2018-04-23,2018-03-24,1e+07,4,"Switzerland","Smart Contract,Cryptocurrency",2.5,0,0,"Ethereum","unknown",1,1,0,1,1,1,1,7689.630954,"Europe",30
8,"Y",2017-12-06,2017-11-06,5.1e+07,22,"UK","Banking,Platform,Software",3.5,4.2,3.6,"Ethereum","3",1,0,3,1,0.95,1,0,8702.96319,"Europe",30
9,"Y",2017-10-08,2017-09-08,6e+06,7,"Russia","Infrastructure,Platform",3.3,3,3,"Ethereum","1",1,1,0,1,0.29,1,1,4038,"Europe",30
10,"N",2017-11-30,2017-11-01,0,13,"Estonia","Cryptocurrency,Internet,Investment,Energy",2,0,0,"Ethereum","unknown",1,0,0,0,0.23,1,0,7813.132975,"Europe",29
11,"N",2017-10-31,2017-10-01,0,7,"USA","Platform,Investment,Cryptocurrency",2.1,1,1,"Ethereum","1",1,0,3,1,0,0.57,0,5360.071604,"Americas",30
